"timestamp,gsr,temp,heart_rate,label"
"0,508,34.0,75,0"
"1,510,34.0,76,0"
"2,512,34.1,76,0"
"3,514,34.1,77,0"
"4,516,34.2,78,0"
"5,518,34.2,79,0"
"6,520,34.3,80,0"
"7,525,34.4,81,0"
"8,530,34.5,82,0"
"9,535,34.6,83,0"
"10,545,34.7,85,1"
"11,555,34.9,87,1"
"12,565,35.0,89,1"
"13,580,35.2,91,1"
"14,595,35.4,93,1"
"15,610,35.6,95,1"
"16,625,35.7,97,1"
"17,640,35.8,99,1"
"18,650,36.0,101,1"
"19,645,35.9,100,1"
"20,630,35.7,98,1"
"21,615,35.5,96,1"
"22,600,35.3,94,1"
"23,585,35.1,92,1"
"24,570,34.9,90,1"
"25,555,34.8,88,0"
"26,540,34.6,86,0"
"27,530,34.5,84,0"
"28,525,34.4,83,0"
"29,520,34.3,82,0"
"30,518,34.3,81,0"
"31,516,34.2,80,0"
"32,514,34.2,79,0"
"33,512,34.1,78,0"
"34,510,34.1,77,0"
"35,508,34.0,76,0"
"36,510,34.0,76,0"
"37,512,34.1,77,0"
"38,515,34.1,78,0"
"39,520,34.2,79,0"
"40,530,34.4,81,0"
"41,545,34.6,84,1"
"42,560,34.9,87,1"
"43,575,35.1,89,1"
"44,590,35.3,92,1"
"45,605,35.5,94,1"
"46,620,35.7,96,1"
"47,600,35.4,93,1"
"48,575,35.1,90,0"
"49,550,34.8,86,0"
